------------Nº Generacion | Aptitud total | Promedio aptitud | Individuo mas apto | Individuo menos apto |
           40 | 1157.45799491 | 11.5745799491598 | -7.999007998015996 |                136.0 |
           41 | 1055.70835141 | 10.5570835141670 | -7.999007998015996 |                136.0 |
           42 | 1582.10428420 | 15.8210428420856 | -7.999007998015996 |    422.8076136152272 |
           43 | 1122.88176576 | 11.2288176576353 | -7.999007998015996 |                136.0 |
           44 | 1241.82776365 | 12.4182776365552 | -7.999007998015996 |                136.0 |
           45 | 1326.76793353 | 13.2676793353586 | -7.999007998015996 |                136.0 |
           46 | 1257.85851571 | 12.5785851571703 | -7.999007998015996 |                136.0 |
           47 | 1327.43257486 | 13.2743257486514 | -7.999007998015996 |                136.0 |
           48 | 1259.04891809 | 12.5904891809783 | -7.999007998015996 |                136.0 |
           49 | 1404.71448942 | 14.0471448942897 | -7.999007998015996 |                136.0 |
------------ Corrida a las 20:20:30 12/05/2015
Nº Generacion | Aptitud total | Promedio aptitud | Individuo mas apto | Individuo menos apto |
            0 | 2883.60592721 | 28.8360592721185 | -7.999007998015996 |    128.5401450802902 |
            1 | 5618.89763779 | 56.1889763779527 | -7.999007998015996 |     593.987475974952 |
            2 | 4170.16802033 | 41.7016802033604 | -7.999007998015996 |                136.0 |
            3 | 5503.31452662 | 55.0331452662905 | -7.999007998015996 |     673.744435488871 |
            4 | 4062.04476408 | 40.6204476408952 | -7.999007998015996 |                136.0 |
            5 | 3968.68249736 | 39.6868249736499 | -7.999007998015996 |    128.5401450802902 |
            6 | 4118.72279744 | 41.1872279744559 | -7.999007998015996 |    497.7186434372868 |
            7 | 4418.89763779 | 44.1889763779527 | -7.999007998015996 |   483.65205530411055 |
            8 | 3860.61876123 | 38.6061876123752 | -7.999007998015996 |    153.9105958211916 |
            9 | 4359.89335978 | 43.5989335978671 | -7.999007998015996 |    384.4766569533139 |
           10 | 3950.24614049 | 39.5024614049228 | -7.999007998015996 |     132.245272490545 |
           11 | 3923.17440634 | 39.2317440634881 | -7.999007998015996 |    128.5401450802902 |
           12 | 4201.34168268 | 42.0134168268336 | -7.999007998015996 |   483.65205530411055 |
           13 | 4099.86483972 | 40.9986483972968 | -7.999007998015996 |     132.245272490545 |
           14 | 4455.36859073 | 44.5536859073718 | -7.999007998015996 |     132.245272490545 |
           15 | 4225.50685101 | 42.2550685101370 | -7.999007998015996 |     132.245272490545 |
           16 | 4794.16702833 | 47.9416702833405 | -7.999007998015996 |    462.9241738483477 |
           17 | 3669.06813813 | 36.6906813813627 | -7.999007998015996 |    128.5401450802902 |
           18 | 4216.46475292 | 42.1646475292950 | -7.999007998015996 |    128.5401450802902 |
           19 | 3769.71665943 | 37.6971665943331 | -7.999007998015996 |     132.245272490545 |
           20 | 3937.41459482 | 39.3741459482919 | -7.999007998015996 |     132.245272490545 |
           21 | 4036.47095294 | 40.3647095294190 | -7.999007998015996 |     132.245272490545 |
           22 | 4754.32822865 | 47.5432822865645 | -7.999007998015996 |    435.9813999627998 |
           23 | 3765.51553103 | 37.6551553103106 | -7.999007998015996 |    128.5401450802902 |
           24 | 3977.15915431 | 39.7715915431830 | -7.999007998015996 |   483.65205530411055 |
           25 | 4261.55124310 | 42.6155124310248 | -7.999007998015996 |     132.245272490545 |
           26 | 4050.81530163 | 40.5081530163060 | -7.999007998015996 |    149.9277078554157 |
           27 | 3963.09752619 | 39.6309752619505 | -7.999007998015996 |     132.245272490545 |
           28 | 3760.82832165 | 37.6082832165664 | -7.999007998015996 |     132.245272490545 |
           29 | 4024.02628805 | 40.2402628805257 | -7.999007998015996 |     132.245272490545 |
           30 | 3806.30665261 | 38.0630665261330 | -7.999007998015996 |     132.245272490545 |
           31 | 3888.57833715 | 38.8857833715667 | -7.999007998015996 |   196.46748093496183 |
           32 | 5142.26548453 | 51.4226548453096 | -7.999007998015996 |   511.98363196726405 |
           33 | 4281.66904333 | 42.8166904333808 | -7.999007998015996 |    128.5401450802902 |
           34 | 4103.82788765 | 41.0382788765577 | -7.999007998015996 |   483.65205530411055 |
           35 | 3552.80054560 | 35.5280054560109 | -7.999007998015996 |    128.5401450802902 |
           36 | 4861.04780209 | 48.6104780209560 | -7.999007998015996 |   483.65205530411055 |
           37 | 4050.43338086 | 40.5043338086676 | -7.999007998015996 |    149.9277078554157 |
           38 | 3641.36152272 | 36.4136152272304 | -7.999007998015996 |    128.5401450802902 |
           39 | 4139.35147870 | 41.3935147870295 | -7.999007998015996 |     132.245272490545 |
           40 | 4037.51255502 | 40.3751255502510 | -7.999007998015996 |    149.9277078554157 |
           41 | 4347.63717527 | 43.4763717527434 | -7.999007998015996 |     132.245272490545 |
           42 | 3804.21352842 | 38.0421352842705 | -7.999007998015996 |     132.245272490545 |
           43 | 3953.23206646 | 39.5323206646413 | -7.999007998015996 |                136.0 |
           44 | 4664.38836877 | 46.6438836877673 | -7.999007998015996 |   483.65205530411055 |
           45 | 4246.30417260 | 42.4630417260834 | -7.999007998015996 |    555.9689999379999 |
           46 | 4383.87004774 | 43.8387004774009 | -7.999007998015996 |    555.9689999379999 |
           47 | 3811.71306342 | 38.1171306342612 | -7.999007998015996 |                136.0 |
           48 | 3965.19561039 | 39.6519561039122 | -7.999007998015996 |     132.245272490545 |
           49 | 4376.83675367 | 43.7683675367350 | -7.999007998015996 |    548.5141050282101 |
